2016 Kashmir Unrest: Who is to be blamed?,1
What is the reason behind using bullets on Kashmiri protestors?,2
"When we say we wont give up Kashmir, do we mean the land or the people?",3
What are some really good books on Kashmir?,4
How can peace and progress be maintained in Kashmir?,5
Is it true that abrogation of Article 370 will make the Instrument of Accession null and void?,6
What proof does India have to hold Pakistan responsible for Uri attack?,7
What does Pakistan media say about the issue of POK?,8
"What would have happened to Kashmir and India, if the entire Kashmir was a part of Pakistan?",9
"Are Muslims in Kashmir happy to be part of India? If not, why?",10
Why is Tarek Fateh silent on the events in Kashmir?,11
"What prevents India from using harsher tactics in Kashmir, e.g. helicopter gunships?",12
How should India deal with Kashmir separatists? They raise the Pakistan flag and shout anti-Indian slogan. Shouldn't they be dealt with an iron fist?,13
How would Kashmir even survive if it became an independent country?,14
What is the capital of Pakistan occupied Kashmir?,15
Does Kashmir possess enough resources to sustain as an independent nation?,16
Can India and Pakistan be best friends with the sovereign nation of Kashmir as their neighbor?,17
Is it possible for India to win back PoK and CoK?,18
What percentage of Kashmiris want to be a part of India?,19
"If PoK is the only link between Pakistan and China, why doesn't India get back PoK and break the land route b/w them?",20
Is there a section of secularists from India who are penning Q&A of how Pakistan is more liberal than India and condemning India's stand on Kashmir?,21
What are the confidence building measures that Indian Government has taken in Kashmir and the North East?,22
Why does the Indian army carry out fake encounters in Indian occupied Kashmir?,23
"Do Kashmir Muslims not know if they separate from India, Pakistan will make their life miserable like that of Mohazirs in Pakistan?",24
Why does Tarek Fatah hate Pakistan so much?,25
Jawaharlal Nehru University Campus Row (February 2016): What do you think about JNU professor's view on kashmir? ,26
"Why do some Kashmiri's hate India and want to be part of Pakistan? Aren't they aware of pathankot, Mumbai attacks etc?",27
Will there ever be an end to the Kashmir issue?,28
How many people from Jammu and Kashmir are on Quora?,29
Is the Indian military capable enough to fend off a joint Chinese and Pakistani invasion of Kashmir?,30
Why don't India send the pro Pakistani people in Kashmir to Pakistan?,31
What losses will India incur if Indians giveaway Kashmir?,32
"When Pakistan will return one third Sindh, Chitgaong Hills before asking Kashmir?",33
